qubits	depth	T_gates	time
2	5	0	0.046578601
2	5	0	0.004049488
2	5	0	0.000402232
2	5	0	0.000610563
2	5	0	4.555934051
2	5	2	3.690801507
2	5	2	2.721038846
2	5	2	3.630555545
2	5	2	0.008203301
2	5	2	3.657382241
2	5	4	3.474349098
2	5	4	3.715228294
2	5	4	3.404246352
2	5	4	6.733463479
2	5	4	6.654112774
2	5	6	6.930193705
2	5	6	4.9516812
2	5	6	3.586039895
2	5	6	6.399648247
2	5	6	3.800351438
2	5	8	0.001454874
2	5	8	2.711889855
2	5	8	0.006735787
2	5	8	4.66322818
2	5	8	0.002010893
2	5	10	3.516666144
2	5	10	3.617592108
2	5	10	3.659621009
2	5	10	3.521282185
2	5	10	3.879755583
2	20	0	4.939911491
2	20	0	6.730748612
2	20	0	4.617239199
2	20	0	2.642027685
2	20	0	4.650861574
2	20	2	7.088478114
2	20	2	8.10230268
2	20	2	6.996533714
2	20	2	7.829602907
2	20	2	6.929772402
2	20	4	11.378393964
2	20	4	6.919183352
2	20	4	9.751323445
2	20	4	9.529170899
2	20	4	6.602658592
2	20	6	7.293529167
2	20	6	3.465611624
2	20	6	9.634712839
2	20	6	12.783873358
2	20	6	5.181025677
2	20	8	9.568346442
2	20	8	6.250135671
2	20	8	3.435833228
2	20	8	13.161635484
2	20	8	7.181307783
2	20	10	16.479354416
2	20	10	25.721569869
2	20	10	5.393247439
2	20	10	17.068674368
2	20	10	15.797233746
2	35	0	4.932594393
2	35	0	6.650491052
2	35	0	6.998793314
2	35	0	6.865408987
2	35	0	6.66278073
2	35	2	7.943607891
2	35	2	9.745440744
2	35	2	8.220475788
2	35	2	9.717523228
2	35	2	9.665413982
2	35	4	11.408914804
2	35	4	12.000091248
2	35	4	11.335365019
2	35	4	3.690226274
2	35	4	8.691373214
2	35	6	16.351159414
2	35	6	7.823468358
2	35	6	7.863129545
2	35	6	17.458870621
2	35	6	11.965333881
2	35	8	16.408970188
2	35	8	15.618296947
2	35	8	9.988535281
2	35	8	16.851585071
2	35	8	10.632050373
2	35	10	15.032853329
2	35	10	8.708651385
2	35	10	13.654788811
2	35	10	18.054947307
2	35	10	21.544929281
2	50	0	6.854878606
2	50	0	6.681248544
2	50	0	6.829463596
2	50	0	2.721535422
2	50	0	4.652180941
2	50	2	4.652562615
2	50	2	9.638729353
2	50	2	8.11749339
2	50	2	6.892022805
2	50	2	9.737830929
2	50	4	13.182433682
2	50	4	11.318320024
2	50	4	10.670398394
2	50	4	11.624569722
2	50	4	6.136034846
2	50	6	16.40138165
2	50	6	16.046722671
2	50	6	14.933026618
2	50	6	15.254310849
2	50	6	6.451935314
2	50	8	18.533064828
2	50	8	19.264464979
2	50	8	21.065184712
2	50	8	20.553321249
2	50	8	12.860400616
2	50	10	29.822952501
2	50	10	23.414267127
2	50	10	16.916774209
2	50	10	16.78754393
2	50	10	34.861002298
