qubits	depth	T_gates	time
2	5	0	0.015704006
2	5	2	3.033530624
2	5	4	3.070246537
2	5	6	4.485620786
2	5	8	2.480582577
2	5	10	3.347266019
2	20	0	4.717141386
2	20	2	6.758640974
2	20	4	10.291975673
2	20	6	3.272503402
2	20	8	16.726036451
2	20	10	15.549539361
2	35	0	6.475193647
2	35	2	8.309351886
2	35	4	12.215491232
2	35	6	16.00850526
2	35	8	8.512662151
2	35	10	11.915722607
2	50	0	6.44894529
2	50	2	6.605794907
2	50	4	12.194734863
2	50	6	11.18764104
2	50	8	23.228954659
2	50	10	12.087115516
6	5	0	0.002117003
6	5	2	4.656366786
6	5	4	4.734298616
6	5	6	3.306144503
6	5	8	10.902126864
6	5	10	16.446770118
6	20	0	4.472542104
6	20	2	5.466858115
6	20	4	10.201796358
6	20	6	16.323023281
6	20	8	15.991919824
6	20	10	10.951812794
6	35	0	7.164261988
6	35	2	7.989783499
6	35	4	10.514671875
6	35	6	13.61181027
6	35	8	23.766454221
6	35	10	49.082236668
6	50	0	7.311287415
6	50	2	8.170761171
6	50	4	13.156984309
6	50	6	19.758093813
6	50	8	29.56450405
6	50	10	27.470858915
10	5	0	3.317246327
10	5	2	3.98614192
10	5	4	7.23486066
10	5	6	8.993313769
10	5	8	8.344441058
10	5	10	23.284274642
10	20	0	4.559937758
10	20	2	7.381462721
10	20	4	10.342757597
10	20	6	14.096350441
10	20	8	22.485905363
10	20	10	39.98853749
10	35	0	8.184452428
10	35	2	11.711288497
10	35	4	15.221349184
10	35	6	20.327476837
10	35	8	24.751501829
10	35	10	28.967057519
10	50	0	7.868158925
10	50	2	4.50414188
10	50	4	15.116212995
10	50	6	19.915284294
10	50	8	36.381821058
10	50	10	42.658226491
14	5	0	5.109900268
14	5	2	7.328352171
14	5	4	12.561088177
14	5	6	11.463362028
14	5	8	10.567409006
14	5	10	14.015419891
14	20	0	7.757413858
14	20	2	10.060400963
14	20	4	14.165920433
14	20	6	18.183409421
14	20	8	12.136385072
14	20	10	28.412951976
14	35	0	5.621956553
14	35	2	10.182874798
14	35	4	8.089708089
14	35	6	22.234148243
14	35	8	37.794690601
14	35	10	25.944863726
14	50	0	5.084485852
14	50	2	8.859751702
14	50	4	15.554780716
14	50	6	21.753508225
14	50	8	21.785702209
14	50	10	44.835996393
18	5	0	3.057248703
18	5	2	4.852335201
18	5	4	5.415891682
18	5	6	12.047312537
18	5	8	30.454340181
18	5	10	32.854105279
18	20	0	6.982067736
18	20	2	8.825549086
18	20	4	9.922002946
18	20	6	16.573947113
18	20	8	33.207915851
18	20	10	33.724803388
18	35	0	7.668194441
18	35	2	7.527517763
18	35	4	12.27985989
18	35	6	24.004532503
18	35	8	30.250312604
18	35	10	38.497769454
18	50	0	4.987613582
18	50	2	9.811663771
18	50	4	10.763821553
18	50	6	22.499052309
18	50	8	40.964339578
18	50	10	51.011050225
22	5	0	3.376123423
22	5	2	3.999844648
22	5	4	5.212016841
22	5	6	5.338894286
22	5	8	15.032917989
22	5	10	14.717586835
22	20	0	7.926690443
22	20	2	8.177702361
22	20	4	13.25127554
22	20	6	20.573320764
22	20	8	32.140929545
22	20	10	40.384116206
22	35	0	6.421842065
22	35	2	10.856844808
22	35	4	16.941908394
22	35	6	20.065272516
22	35	8	38.38366696
22	35	10	39.124574407
22	50	0	9.930291533
22	50	2	8.41901229
22	50	4	17.863552006
22	50	6	25.811778881
22	50	8	37.526533022
22	50	10	57.14278986
26	5	0	3.047516068
26	5	2	5.247935239
26	5	4	5.220389533
26	5	6	5.762937314
26	5	8	15.652008344
26	5	10	15.018153209
26	20	0	6.980341499
26	20	2	10.878499628
26	20	4	17.489874047
26	20	6	24.129855264
26	20	8	27.795227388
26	20	10	59.694540153
26	35	0	10.898887034
26	35	2	15.090494996
26	35	4	11.615798873
26	35	6	21.586261936
26	35	8	42.880297928
26	35	10	57.398052658
26	50	0	11.29875114
26	50	2	13.974198588
26	50	4	18.569868632
26	50	6	31.372112229
26	50	8	36.874376299
26	50	10	70.636252619
30	5	0	2.875593876
30	5	2	4.298254978
30	5	4	5.471918317
30	5	6	9.403926413
30	5	8	14.221121486
30	5	10	28.193847192
30	20	0	6.950796773
30	20	2	12.138168812
30	20	4	14.135178081
30	20	6	20.329692709
30	20	8	36.760124532
30	20	10	58.207748611
30	35	0	4.828834302
30	35	2	11.755104648
30	35	4	12.782860977
30	35	6	28.793060109
30	35	8	38.915093967
30	35	10	59.921362933
30	50	0	11.154760379
30	50	2	6.212537361
30	50	4	19.502226446
30	50	6	31.579499487
30	50	8	37.244202162
30	50	10	45.430590998
