bitlen(n)	n	p	q	e	time
21	1468823	1201	1223	733067	32.42381048202515
21	1493203	1231	1213	248309	13.26982855796814
21	1500481	1213	1237	124753	36.31521129608154
21	1512059	1259	1201	754597	2.1343367099761963
21	1520033	1217	1249	47339	1.6146249771118164
21	1539757	1223	1259	768457	24.332284450531006
21	1556279	1213	1283	776729	5.079115390777588
21	1564217	1279	1223	780707	17.13925528526306
21	1574449	1231	1279	261791	11.821676015853882
21	1582123	1237	1279	263129	10.469529390335083
21	1587071	1237	1283	792109	1.400782585144043
21	1596967	1237	1291	265571	11.18238615989685
21	1609337	1301	1237	401537	1.619605541229248
21	1615297	1259	1283	806213	8.350155115127563
21	1627447	1249	1303	270679	30.27603816986084
21	1640477	1303	1259	818687	22.359997749328613
21	1651189	1279	1291	274609	8.096320152282715
21	1674427	1291	1297	278549	16.70555305480957
21	1682173	1303	1291	279751	6.6486496925354
21	1687397	1297	1301	421081	6.1295166015625
21	1695203	1303	1301	846067	21.789199590682983
21	1702541	1283	1327	849763	8.652232885360718
21	1710743	1297	1319	853903	9.631070613861084
21	1723933	1307	1319	860507	28.653820514678955
21	1746163	1361	1283	871571	7.982641220092773
21	1762063	1367	1289	879607	29.41596221923828
21	1772999	1297	1367	884999	0.5189676284790039
21	1781201	1303	1367	889043	6.24829363822937
21	1794511	1373	1307	895787	14.739184856414795
21	1804967	1307	1381	900971	1.5844173431396484
21	1821539	1319	1381	909299	8.471481800079346
21	1835927	1303	1409	916451	6.734381198883057
21	1858471	1319	1409	927743	4.7000062465667725
21	1869743	1409	1327	933313	24.183051347732544
21	1901591	1327	1433	949171	13.79355001449585
21	1920827	1399	1373	958871	8.033300399780273
21	1942147	1361	1427	969503	5.732023477554321
21	1953779	1373	1423	975287	2.861790895462036
21	1965163	1423	1381	326941	40.682295083999634
21	1975747	1439	1373	986239	5.226732969284058
21	1987259	1381	1439	992011	0.31266212463378906
21	2003831	1451	1381	199961	1.445889949798584
21	2013161	1439	1399	1005019	1.3066277503967285
21	2029949	1399	1451	1013329	2.533080577850342
21	2039159	1433	1423	1017889	21.275166988372803
21	2047697	1439	1423	1022209	10.70718002319336
21	2062087	1433	1439	1029487	7.572951078414917
21	2079283	1451	1433	1038019	18.420153379440308
21	2090747	1459	1433	1043773	3.5569653511047363
22	2099501	1459	1439	1048063	19.8644700050354
22	2107943	1471	1433	1052309	15.019280672073364
22	2116241	1427	1483	1056509	2.5849575996398926
22	2125139	1483	1433	1060883	2.226123332977295
22	2134037	1483	1439	1065343	3.81278657913208
22	2145901	1447	1483	356989	16.65153741836548
22	2151893	1453	1481	537071	16.129552602767944
22	2160779	1459	1481	1078739	4.7841796875
22	2169053	1447	1499	1082777	4.9389495849609375
22	2178287	1493	1459	1087483	33.79999756813049
22	2192461	1511	1451	218809	33.83088302612305
22	2211133	1493	1481	551909	42.752134561538696
22	2222057	1523	1459	1109393	10.596297264099121
22	2232011	1499	1489	1114303	3.7700083255767822
22	2240813	1511	1483	1118783	4.758832693099976
22	2255923	1493	1511	1126343	41.80811810493469
22	2269753	1471	1543	377633	14.141566753387451
22	2294969	1531	1499	1145743	10.312203407287598
22	2303699	1493	1543	1150151	1.364187240600586
22	2313341	1531	1511	230891	26.385297298431396
22	2331473	1543	1511	1164029	73.8014132976532
22	2354929	1499	1571	1175789	1.9190292358398438
22	2367737	1567	1511	1182043	2.158212661743164
22	2385869	1579	1511	1191199	6.7931108474731445
22	2396279	1543	1553	1196401	0.20610642433166504
22	2405597	1553	1549	600433	21.020588874816895
22	2423573	1583	1531	1210051	3.4892284870147705
22	2433551	1553	1567	1215017	36.416845083236694
22	2445871	1579	1549	406873	46.02067542076111
22	2458399	1583	1553	1227353	37.14535164833069
22	2473753	1549	1597	205663	7.725847959518433
22	2480561	1567	1583	1238509	12.199145555496216
22	2492341	1609	1549	207293	2.990612506866455
22	2502499	1597	1567	416441	14.755608081817627
22	2515171	1571	1601	251081	3.6991372108459473
22	2527571	1567	1613	1261969	2.4218337535858154
22	2534383	1583	1601	1265449	1.0634880065917969
22	2546591	1621	1571	254179	1.5351135730743408
22	2556017	1627	1571	1276183	3.7402842044830322
22	2566379	1607	1597	1281431	11.522422075271606
22	2575961	1597	1613	643031	52.16915416717529
22	2585663	1607	1609	1291063	2.7974233627319336
22	2595221	1621	1601	129509	7.610497951507568
22	2604947	1621	1607	1300669	22.374536275863647
22	2617843	1627	1609	435641	16.213775634765625
22	2630659	1607	1637	1313467	4.7561187744140625
22	2662799	1657	1607	1329631	47.488505840301514
22	2672741	1657	1613	667211	28.25184988975525
22	2682203	1667	1609	1339297	72.39741611480713
22	2692097	1669	1613	672079	13.959383964538574
22	2705701	1663	1627	450277	49.91227698326111
22	2724037	1609	1693	226601	5.170660734176636
22	2744353	1693	1621	76001	6.356721639633179
22	2761019	1697	1627	1378721	26.399630069732666
22	2771441	1637	1693	691897	18.363599061965942
22	2780543	1709	1627	1388381	9.010517120361328
22	2805301	1657	1693	77719	1.230536699295044
22	2822111	1697	1663	1409203	17.34855628013611
22	2832293	1697	1669	707053	26.908759117126465
22	2855011	1657	1723	475093	3.5311896800994873
22	2871581	1657	1733	716869	11.49253797531128
22	2895283	1663	1741	481807	16.60781979560852
22	2913653	1721	1693	727351	7.232869625091553
22	2923931	1697	1723	1460089	0.16193509101867676
22	2944607	1723	1709	209953	3.05926775932312
22	2974841	1697	1753	371303	41.352588176727295
22	2985623	1709	1747	1490899	2.0017764568328857
22	3016913	1753	1721	376573	9.72160530090332
22	3030757	1723	1759	504353	17.370596647262573
22	3048347	1759	1733	1522187	33.81785607337952
22	3061771	1777	1723	509581	24.38072919845581
22	3075427	1787	1721	1535791	9.563453674316406
22	3083527	1759	1753	513167	5.7347571849823
22	3103123	1801	1723	516449	42.79686450958252
22	3121133	1733	1801	779221	1.6526801586151123
22	3135541	1741	1801	52103	55.989914417266846
22	3146851	1759	1789	523717	11.347784280776978
22	3167959	1801	1759	527237	0.4449894428253174
22	3184781	1823	1747	1590397	0.17908787727355957
22	3198757	1747	1831	532379	4.989753484725952
22	3218147	1811	1777	1607087	17.86268162727356
22	3237791	1847	1753	1616861	11.948086738586426
22	3253687	1777	1831	541537	37.91049909591675
22	3273499	1861	1759	544861	56.215816020965576
22	3297631	1801	1831	109621	23.118693113327026
22	3315941	1811	1831	331081	3.6777617931365967
22	3329329	1789	1861	276953	74.05454993247986
22	3347051	1787	1873	1671497	3.533392906188965
22	3362467	1801	1867	559639	76.44945526123047
22	3381137	1811	1867	1688443	40.41029667854309
22	3399247	1811	1877	1697621	9.225807189941406
22	3414479	1823	1873	1705189	0.8916885852813721
22	3429463	1873	1831	570827	6.209555625915527
22	3448349	1847	1867	1722131	28.250739336013794
22	3466819	1847	1877	1731361	21.611590147018433
22	3496891	1873	1867	582017	10.486249685287476
22	3515429	1889	1861	877783	30.49950075149536
22	3526763	1889	1867	1761299	7.701519250869751
22	3538097	1889	1873	220783	10.014749765396118
22	3560093	1861	1913	888959	24.328685998916626
22	3571571	1913	1867	1783729	7.588210105895996
22	3583253	1879	1907	1789493	2.5195248126983643
22	3602323	1907	1889	1799107	7.355420351028442
22	3616763	1873	1931	1806281	10.879150390625
22	3628349	1879	1931	1812061	18.967609405517578
22	3648091	1913	1907	1821913	26.366779327392578
22	3665929	1879	1951	610193	2.9430108070373535
22	3686231	1933	1907	1841003	38.44218420982361
22	3708851	1951	1901	73973	24.594914436340332
22	3732263	1913	1951	1863941	22.653253078460693
22	3753443	1889	1987	1874603	22.61602759361267
22	3773953	1979	1907	1884853	16.401094675064087
22	3789209	1987	1907	1892497	4.5917675495147705
22	3809863	1931	1973	1902829	0.6574738025665283
22	3824087	1999	1913	1909927	0.6156537532806396
22	3849323	1951	1973	1922519	17.538966417312622
22	3861029	1951	1979	1928383	6.211917400360107
22	3887263	2011	1933	647069	9.911852836608887
22	3904567	1973	1979	1950139	33.63760161399841
22	3932189	1993	1973	981817	8.722805976867676
22	3960091	1987	1993	659171	5.854172468185425
22	3999271	2027	1973	1997441	14.099676132202148
22	4011433	1979	2027	2003557	15.433071613311768
22	4027649	1987	2027	2011601	23.406537771224976
22	4043797	2029	1993	336529	49.28657031059265
22	4051973	1999	2027	2023817	4.08829402923584
22	4071883	2039	1997	2033719	2.1780412197113037
22	4084117	2039	2003	2039899	5.991722106933594
22	4119811	1997	2063	2057701	5.258677959442139
22	4133053	2039	2027	2064329	1.7896780967712402
22	4168243	2003	2081	160033	53.62130260467529
22	4186067	2039	2053	2090719	17.625569820404053
23	4206457	2063	2039	2100997	34.12831687927246
23	4222349	2029	2081	81031	13.491830348968506
23	4243159	2039	2081	2119301	4.585306406021118
23	4279861	2099	2039	2137669	8.021716833114624
23	4297229	2063	2083	2146387	34.684561014175415
23	4309247	2053	2099	2152369	21.857032299041748
23	4333883	2053	2111	2164609	2.8387668132781982
23	4343047	2081	2087	2169157	1.5162010192871094
23	4367659	2111	2069	2181577	8.592622995376587
23	4380613	2099	2087	2188037	9.18954873085022
23	4397213	2111	2083	2196307	13.227608680725098
23	4409831	2087	2113	2202601	26.634681463241577
23	4438873	2083	2131	738961	13.771563053131104
23	4455421	2141	2081	222389	47.21526050567627
23	4472441	2087	2143	319037	3.8398690223693848
