qubits	depth	max_operand	time
6	50	3	0.028915754
6	50	3	0.024460306
6	50	3	0.026887931
6	50	4	0.048346971
6	50	4	0.030733106
6	50	4	0.027781461
6	50	4	0.027423354
6	50	4	0.026183517
7	5	1	0.003550061
7	5	1	0.004903916
7	5	1	0.00325659
7	5	1	0.015087561
7	5	1	0.004230909
7	5	2	0.030202503
7	5	2	0.033141645
7	5	2	0.030260957
7	5	2	0.035822244
7	5	2	0.038927681
7	5	3	0.030375095
7	5	3	0.035868533
7	5	3	0.030325183
7	5	3	0.030295
7	5	3	0.02596597
7	5	4	0.027589945
7	5	4	0.034134166
7	5	4	0.029528281
7	5	4	0.032558154
7	5	4	0.0294031
7	20	1	0.0021562
7	20	1	0.003838291
7	20	1	0.002344274
7	20	1	0.009070369
7	20	1	0.002096698
7	20	2	0.031320727
7	20	2	0.032400054
7	20	2	0.03359375
7	20	2	0.029855629
7	20	2	0.03208313
7	20	3	0.032283048
7	20	3	0.031643043
7	20	3	0.032006731
7	20	3	0.032317532
7	20	3	0.034238703
7	20	4	0.032790433
7	20	4	0.041900816
7	20	4	0.032099416
7	20	4	0.03253104
7	20	4	0.032386751
7	35	1	0.002293327
7	35	1	0.004168603
7	35	1	0.002485407
7	35	1	0.001914744
7	35	1	0.002333958
7	35	2	0.03253199
7	35	2	0.032721356
7	35	2	0.035281487
7	35	2	0.03196971
7	35	2	0.033861219
7	35	3	0.034745475
7	35	3	0.036934572
7	35	3	0.032919991
7	35	3	0.035513111
7	35	3	0.033985936
7	35	4	0.033651276
7	35	4	0.03314439
7	35	4	0.033825755
7	35	4	0.030102863
7	35	4	0.043991038
7	50	1	0.003151099
7	50	1	0.002586411
7	50	1	0.006545627
7	50	1	0.00251942
7	50	1	0.002582182
7	50	2	0.033654502
7	50	2	0.032170762
7	50	2	0.033779197
7	50	2	0.03257552
7	50	2	0.036451778
7	50	3	0.037497921
7	50	3	0.033230865
7	50	3	0.036974151
7	50	3	0.036060478
7	50	3	0.033904649
7	50	4	0.050626651
7	50	4	0.03462514
7	50	4	0.032985403
7	50	4	0.034617928
7	50	4	0.022363486
8	5	1	0.0037391
8	5	1	0.002708998
8	5	1	0.001889931
8	5	1	0.003457315
8	5	1	0.00447836
8	5	2	0.028004996
8	5	2	0.037951722
8	5	2	0.025625668
8	5	2	0.035590182
8	5	2	0.026789836
8	5	3	0.045527932
8	5	3	0.035504038
8	5	3	0.015847248
8	5	3	0.032487995
8	5	3	0.036026035
8	5	4	0.025654154
8	5	4	0.036977778
