bitlen(n)	n	p	q	e	time
6	51	3	17	13	1.1205673217773438e-05
7	95	5	19	31	0.024539947509765625
8	143	13	11	59	0.03899121284484863
8	185	5	37	31	0.024877548217773438
8	221	13	17	47	0.01304173469543457
9	437	23	19	197	0.20068097114562988
10	527	17	31	239	0.029041290283203125
10	589	31	19	89	0.0489039421081543
10	703	37	19	31	0.19370365142822266
10	817	19	43	113	0.1281728744506836
10	901	17	53	199	0.09502100944519043
11	1073	29	37	251	0.015849828720092773
11	1219	53	23	571	0.3601856231689453
11	1363	47	29	643	0.3125951290130615
11	1537	29	53	359	0.09450888633728027
11	1739	47	37	827	0.5937786102294922
11	1891	61	31	59	0.027938127517700195
12	2077	67	31	317	0.014959573745727539
12	2257	37	61	179	0.20037221908569336
12	2501	41	61	113	0.39369940757751465
12	2747	41	67	1319	0.6771750450134277
12	2911	41	71	277	0.06066393852233887
12	3149	67	47	1511	0.1587975025177002
12	3431	47	73	1637	0.7882564067840576
12	3713	47	79	1789	0.33116841316223145
12	3953	59	67	1913	1.1764774322509766
13	4307	73	59	2087	1.507869005203247
13	4661	59	79	2251	0.3938720226287842
13	4897	59	83	2377	1.021411418914795
13	5251	59	89	2551	0.04408001899719238
13	5609	71	79	2729	0.04478931427001953
13	5959	59	101	2897	0.786914587020874
13	6283	61	103	1019	0.14315032958984375
13	6767	101	67	3299	0.12317824363708496
13	7081	73	97	283	0.2607283592224121
13	7387	83	89	3607	0.18415117263793945
13	7811	73	107	3803	0.3538045883178711
13	8137	79	103	1321	0.6271176338195801
14	8611	79	109	1399	1.7615747451782227
14	9701	109	89	2371	0.39644289016723633
14	11021	103	107	5399	1.2643191814422607
14	11639	103	113	5711	0.9975900650024414
14	12193	89	137	1493	0.1759040355682373
14	12827	101	127	6299	1.091857671737671
14	13493	131	103	6619	0.7329351902008057
14	14039	101	139	6899	1.035386323928833
14	14659	107	137	7207	0.850456953048706
14	15151	109	139	2477	1.624603271484375
14	15943	107	149	7841	0.480388879776001
15	16637	127	131	8179	2.5889956951141357
15	17947	131	137	8839	4.738077402114868
15	18923	149	127	9323	0.4213745594024658
15	19781	151	131	1949	4.067291498184204
15	20701	163	127	1129	0.3872833251953125
15	21509	157	137	5303	3.3749613761901855
15	22331	163	137	11003	0.7305161952972412
15	22879	167	137	11287	0.2489769458770752
15	23707	157	151	3889	2.396775007247925
15	25217	151	167	12437	0.1721642017364502
15	26549	139	191	13109	0.8718457221984863
15	27161	173	157	6703	0.6732099056243896
15	28199	163	173	13931	0.5430972576141357
15	28891	173	167	14251	1.2971534729003906
15	29893	179	167	14771	5.3337695598602295
15	30929	157	197	7643	1.3173284530639648
15	31459	163	193	5179	7.652607679367065
15	32399	181	179	16007	0.23503923416137695
16	33233	199	167	16433	1.0179426670074463
16	34427	199	173	17027	6.81785249710083
16	35263	197	179	17443	0.40290260314941406
16	36503	211	173	18059	2.384185791015625e-06
16	37769	211	179	18679	0.4747176170349121
16	38579	173	223	19087	4.362341642379761
16	39917	179	223	19753	3.1883351802825928
16	40991	229	179	20287	0.25668907165527344
16	42173	181	233	10433	0.44521021842956543
16	43811	227	193	21683	0.0881035327911377
16	45571	199	229	7523	2.9048640727996826
16	46513	193	241	953	0.7152934074401855
16	47897	211	227	23719	1.777489423751831
16	51067	223	229	8431	5.355264663696289
16	53743	223	241	8867	0.566842794418335
16	54731	229	239	27127	6.290481805801392
16	56153	241	233	6959	2.5486559867858887
16	57599	241	239	28559	2.518869161605835
16	58853	229	257	14591	1.8965189456939697
16	60227	229	263	29867	0.06561708450317383
16	61517	227	271	30509	3.5762786865234375e-06
16	62857	263	239	31177	1.980649471282959
16	64291	269	239	31891	2.6673390865325928
16	65311	271	241	2153	0.20994234085083008
17	66757	277	241	5519	0.771937370300293
17	67721	281	241	1669	1.5771210193634033
17	69527	251	277	34499	0.808873176574707
17	71033	283	251	35227	3.19892954826355
17	72731	257	283	36083	3.9958975315093994
17	73903	263	281	36677	9.732167959213257
17	75589	281	269	18757	10.07191014289856
17	77057	251	307	38239	0.5965800285339355
17	78899	307	257	39163	1.0833842754364014
17	82333	293	281	20431	0.407275915145874
17	84197	313	269	20903	6.070140838623047
17	86881	283	307	14369	3.020545482635498
17	88579	283	313	14657	5.5047173500061035
17	91123	293	311	45259	7.6743004322052
17	93349	337	277	7727	1.373244285583496
17	95477	307	311	47419	2.912686824798584
17	97343	311	313	48353	3.8057732582092285
17	98741	337	293	24527	0.8754317760467529
17	101671	293	347	50513	2.300947666168213
17	103603	313	331	17159	8.626219511032104
17	106829	337	317	26539	3.118065118789673
17	108611	313	347	53959	10.478146314620972
17	110213	307	359	54773	9.391540050506592
17	111901	317	353	27803	11.387293577194214
17	114857	347	331	57089	5.868542432785034
17	116843	331	353	5279	7.238056421279907
17	118961	353	337	7369	1.3477518558502197
17	121477	367	331	20129	3.2003355026245117
17	123679	337	367	20483	1.2912867069244385
17	125701	373	337	10399	4.351859092712402
17	128083	349	367	21227	4.0215771198272705
17	130177	349	373	10781	1.3518481254577637
18	132271	349	379	21911	0.16734838485717773
18	136891	373	367	22691	0.22978854179382324
18	139093	367	379	23057	2.050917863845825
18	140561	383	367	69899	2.25361704826355
18	142859	373	383	71039	0.9133245944976807
18	145157	379	383	72173	1.9725933074951172
18	147431	389	379	73331	4.063192367553711
18	150421	419	359	74821	0.18898558616638184
18	152557	409	373	12647	2.269958019256592
18	155011	379	409	25703	2.8438942432403564
18	160477	419	383	79829	2.0023956298828125
18	162991	419	389	81083	1.468371868133545
18	165073	383	431	82129	8.051620960235596
18	167659	431	389	83417	2.455946922302246
18	170771	439	389	84967	6.298652410507202
18	172327	389	443	85733	1.6850152015686035
18	175871	443	397	87511	7.722752094268799
18	180589	419	431	89867	4.822861909866333
18	183257	401	457	22787	4.274670839309692
18	188131	419	449	93629	1.5052862167358398
18	190933	431	443	95027	6.883862495422363
18	193159	461	419	96137	6.656081914901733
18	194477	443	439	96797	0.19662165641784668
18	197111	449	439	98101	3.146634101867676
18	199613	433	461	49669	0.7489523887634277
18	202211	433	467	100649	10.177044868469238
18	205013	467	439	102043	7.304568290710449
18	206989	449	461	51517	0.10788369178771973
18	210281	439	479	104681	7.37587308883667
18	215071	479	449	107071	12.242053270339966
18	217513	491	443	108289	9.845760583877563
18	220819	461	479	109937	25.654844522476196
18	224051	449	499	111539	2.965886354446411
18	226351	461	491	22531	1.307769775390625
18	232613	509	457	57901	13.26269817352295
18	234901	467	503	116959	1.0457489490509033
18	239021	479	499	118973	10.85543966293335
18	241223	521	463	120103	25.730679988861084
18	244241	523	467	121621	1.4388279914855957
18	252647	541	467	125813	2.7262868881225586
18	255811	521	491	25471	1.829665184020996
18	259979	499	521	129469	3.0388593673706055
19	263467	541	487	4831	8.818344354629517
19	268577	491	547	19087	0.9977419376373291
19	272483	521	523	135719	1.9594945907592773
19	275369	509	541	68567	5.18789529800415
19	280937	499	563	139921	20.906325101852417
19	283931	499	569	141413	1.7451379299163818
19	287213	503	571	143063	2.5948030948638916
19	296449	521	569	36919	4.238840341567993
19	300617	577	521	37423	7.772525787353516
19	305827	587	521	152311	0.6311266422271729
19	310139	523	593	154501	5.763589859008789
19	313591	557	563	156229	0.10409259796142578
19	318047	571	557	158449	0.7782986164093018
19	321473	563	571	160169	25.57085347175598
19	324899	571	569	161879	1.6317570209503174
19	328747	601	547	54583	2.2641499042510986
19	333643	557	599	166237	1.3392488956451416
19	337237	599	563	168037	2.8689451217651367
19	338699	577	587	168761	4.391313076019287
19	342161	593	577	21283	3.7981927394866943
19	345623	599	577	172223	4.975999593734741
19	350023	571	613	58129	2.2875328063964844
19	352307	571	617	175543	9.527884721755981
19	356009	617	577	44351	16.856680870056152
19	359831	613	587	179287	1.3728108406066895
19	363353	587	619	181063	3.7543296813964844
19	365881	617	593	45569	0.6231181621551514
19	369583	599	617	184181	2.6015377044677734
19	372091	607	613	61781	29.069922924041748
19	376267	641	587	187513	2.5960681438446045
19	380113	641	593	23677	4.494353294372559
19	386803	613	631	21419	3.290156602859497
19	390301	607	643	64817	13.487685680389404
19	394159	643	613	65479	8.80466890335083
19	396779	619	641	197759	0.014268159866333008
19	400289	613	653	99733	0.1156454086303711
19	404471	641	631	40289	6.026307582855225
19	407921	619	659	203321	13.672973155975342
19	412163	641	643	205433	21.842835187911987
19	416021	647	643	207343	1.2414448261260986
19	419063	619	677	208877	4.054151773452759
19	423737	659	643	211217	1.6033194065093994
19	427187	677	631	212923	2.537792921066284
19	431633	661	653	107563	5.452972650527954
19	435431	673	647	217033	1.3520073890686035
19	439169	683	643	218887	5.353930950164795
19	443507	673	659	31583	17.823800802230835
19	447077	647	691	222863	13.843592405319214
19	451463	661	683	20443	3.63135027885437
19	456751	691	661	15173	0.3209660053253174
19	461959	659	701	32887	5.5573530197143555
19	471773	701	673	16787	0.10984587669372559
19	477157	673	709	39631	0.17898893356323242
19	480547	727	661	7253	17.16236710548401
19	486763	719	677	242681	9.951849937438965
19	492179	677	727	245383	3.4193737506866455
19	497009	709	701	123887	4.778300046920776
19	507469	683	743	253013	3.014338970184326
19	513413	691	743	255989	1.265484094619751
19	518941	691	751	17239	1.3244459629058838
19	523951	739	709	87083	6.08594536781311
20	530657	701	757	18899	9.374947786331177
20	534217	743	719	266369	13.711381435394287
20	539969	719	751	269237	11.049597263336182
20	545221	769	709	45307	9.653595209121704
20	550339	757	727	91463	4.680154800415039
20	554881	733	757	46103	9.314489126205444
20	559063	769	727	92927	5.752424001693726
20	563677	769	733	46831	6.198113203048706
20	568507	751	757	94483	25.47868251800537
20	584741	743	787	291569	1.6089482307434082
20	591037	751	787	98227	9.021644353866577
20	602573	743	811	300499	23.644333124160767
20	608351	773	787	303389	6.548884630203247
20	615649	809	761	76757	4.375703811645508
20	621497	757	821	154943	9.905489444732666
20	625357	809	773	155921	5.18095850944519
20	631349	821	769	157433	4.360966205596924
20	636179	823	773	317279	3.1285064220428467
20	640817	773	829	159799	5.184439420700073
20	648547	839	773	323467	2.9563422203063965
20	655931	823	797	327133	7.260064363479614
20	660713	829	797	164771	11.318936586380005
20	668683	839	797	333517	16.72800302505493
20	672319	829	811	37253	0.2686350345611572
20	678967	821	827	338659	6.262780427932739
20	682267	823	829	113417	1.6338310241699219
20	688819	821	839	343579	6.360929489135742
20	693853	827	839	346091	5.396424055099487
20	699893	863	811	349109	15.410947322845459
20	705239	859	821	351779	2.791926383972168
20	708523	863	821	353411	11.904694557189941
20	712111	859	829	118399	12.300603866577148
20	720017	877	821	179579	10.91234803199768
20	725279	877	827	361787	13.459359407424927
20	730349	829	881	182159	9.27277660369873
20	735323	829	887	366791	15.888577222824097
20	739159	839	881	368717	11.015441417694092
20	753343	859	877	125261	24.72315788269043
20	756851	863	877	377543	2.439622402191162
20	761933	887	859	380071	1.5034596920013428
20	773671	853	907	128629	4.2444024085998535
20	777899	887	877	388067	0.6450314521789551
20	781447	881	887	389839	11.033628225326538
20	798011	929	859	398087	15.460326671600342
20	802591	881	911	80077	7.638198137283325
20	808631	863	937	403391	15.55043339729309
20	818449	881	929	51031	3.454962730407715
20	825257	941	877	205847	11.270751953125
20	834667	887	941	416419	7.765512704849243
20	842603	907	929	420383	10.6765775680542
20	853487	907	941	425819	1.983227252960205
20	858929	907	947	428531	17.309913635253906
20	864779	919	941	431449	5.109473466873169
20	875807	919	953	25703	3.7399990558624268
20	884581	971	911	88261	7.776838541030884
20	897863	977	919	447983	0.46562671661376953
20	913207	983	929	455647	4.946366310119629
