p       bitlen(p)       g       pk      time
5        3       2       2       35.0161452293396
5        3       3       3       14.005058288574219
7        3       3       5       15.68714714050293
7        3       5       3       32.89519286155701
11       4       2       8       648.1575357913971
11       4       6       6       1621.3799700737
11       4       7       5       4332.289042234421
