qubits	depth	T_gates	time
3	5	0	0.014416181
3	5	0	5.556659095
3	5	0	0.00330858
3	5	0	2.920853461
3	5	0	3.939666739
3	5	2	8.145506655
3	5	2	6.084873713
3	5	2	5.735208784
3	5	2	7.583636992
3	5	2	2.940112162
3	5	4	5.681886236
3	5	4	11.188646347
3	5	4	7.566685882
3	5	4	4.277261188
3	5	4	4.07061099
3	5	6	6.770875273
3	5	6	5.706296716
3	5	6	3.856770502
3	5	6	5.991434467
3	5	6	5.853103663
3	5	8	5.389823383
3	5	8	7.544865839
3	5	8	6.953684518
3	5	8	11.783440572
3	5	8	15.267051753
3	5	10	9.037568794
3	5	10	4.710746741
3	5	10	6.549387823
3	5	10	9.475581739
3	5	10	8.27786791
3	20	0	8.177717685
3	20	0	6.010584266
3	20	0	7.125897869
3	20	0	10.714485073
3	20	0	8.801018757
3	20	2	8.126001449
3	20	2	4.250763872
3	20	2	10.194419645
3	20	2	7.695281282
3	20	2	8.496599172
3	20	4	11.459634547
3	20	4	9.872488045
3	20	4	14.785212939
3	20	4	14.952393929
3	20	4	15.358851459
3	20	6	13.848509838
3	20	6	16.521451671
3	20	6	11.52165715
3	20	6	16.345335264
3	20	6	4.655017331
3	20	8	8.705108892
3	20	8	10.440064526
3	20	8	10.91789821
3	20	8	15.282792138
3	20	8	5.486920566
3	20	10	12.623831119
3	20	10	22.110825871
3	20	10	4.767319117
3	20	10	8.407350459
3	20	10	10.554184735
3	35	0	2.660240983
3	35	0	2.67274927
3	35	0	7.149676745
3	35	0	7.150130863
3	35	0	7.103247576
3	35	2	10.167237907
3	35	2	9.800330563
3	35	2	7.884536154
3	35	2	5.481221029
3	35	2	7.226068374
3	35	4	13.787121455
3	35	4	10.291429838
3	35	4	8.349825234
3	35	4	9.146240196
3	35	4	12.846344199
3	35	6	11.886190459
3	35	6	9.925410447
3	35	6	11.660309918
3	35	6	10.581051988
3	35	6	19.530649525
3	35	8	16.555128274
3	35	8	13.974809502
3	35	8	20.584780137
3	35	8	10.028633695
3	35	8	12.518691731
3	35	10	21.680214361
3	35	10	13.450009698
3	35	10	15.107673798
3	35	10	33.477463954
3	35	10	23.941054385
3	50	0	5.537059912
3	50	0	3.936744297
3	50	0	2.569698909
3	50	0	7.069857265
3	50	0	5.580862706
3	50	2	8.498203995
3	50	2	8.566234014
3	50	2	8.650133252
3	50	2	5.248417434
3	50	2	6.524768222
3	50	4	7.932472588
3	50	4	10.723816561
3	50	4	11.55051941
3	50	4	12.779053756
3	50	4	7.956400131
3	50	6	17.268797996
3	50	6	10.284385207
3	50	6	17.45601534
3	50	6	11.790536445
3	50	6	15.204371302
3	50	8	23.630837327
3	50	8	24.264989373
3	50	8	16.872435522
3	50	8	22.30410442
3	50	8	16.718128888
3	50	10	34.070457356
3	50	10	23.510768409
3	50	10	15.868383222
3	50	10	34.270249563
3	50	10	21.893012457
